Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,4-Column Shopping List.csproj,File,Form1.cs,264,16,T:System.Windows.Forms.ListBox.ObjectCollection,,,,,BreakfastListLB.Items.Clear();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,4-Column Shopping List.csproj,File,Form1.cs,264,16,P:System.Windows.Forms.ListBox.Items,,,,,BreakfastListLB.Items.Clear();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,4-Column Shopping List.csproj,File,Form1.cs,264,16,M:System.Windows.Forms.ListBox.ObjectCollection.Clear,,,,,BreakfastListLB.Items.Clear();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,4-Column Shopping List.csproj,File,Form1.cs,261,16,T:System.Windows.Forms.MessageBoxIcon,,,,,"MessageBox.Show(""The previous list has been saved.\r\n\r\nThe list is located in the Documents folder, which will be overwritten when you add the first item."", ""New List"", MessageBoxButtons.OK, MessageBoxIcon.Information);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,4-Column Shopping List.csproj,File,Form1.cs,261,16,T:System.Windows.Forms.MessageBoxIcon,,,,,"MessageBox.Show(""The previous list has been saved.\r\n\r\nThe list is located in the Documents folder, which will be overwritten when you add the first item."", ""New List"", MessageBoxButtons.OK, MessageBoxIcon.Information);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,4-Column Shopping List.csproj,File,Form1.cs,261,16,F:System.Windows.Forms.MessageBoxIcon.Information,,,,,"MessageBox.Show(""The previous list has been saved.\r\n\r\nThe list is located in the Documents folder, which will be overwritten when you add the first item."", ""New List"", MessageBoxButtons.OK, MessageBoxIcon.Information);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,4-Column Shopping List.csproj,File,Form1.cs,261,16,T:System.Windows.Forms.MessageBoxButtons,,,,,"MessageBox.Show(""The previous list has been saved.\r\n\r\nThe list is located in the Documents folder, which will be overwritten when you add the first item."", ""New List"", MessageBoxButtons.OK, MessageBoxIcon.Information);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,4-Column Shopping List.csproj,File,Form1.cs,261,16,T:System.Windows.Forms.MessageBoxButtons,,,,,"MessageBox.Show(""The previous list has been saved.\r\n\r\nThe list is located in the Documents folder, which will be overwritten when you add the first item."", ""New List"", MessageBoxButtons.OK, MessageBoxIcon.Information);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,4-Column Shopping List.csproj,File,Form1.cs,261,16,F:System.Windows.Forms.MessageBoxButtons.OK,,,,,"MessageBox.Show(""The previous list has been saved.\r\n\r\nThe list is located in the Documents folder, which will be overwritten when you add the first item."", ""New List"", MessageBoxButtons.OK, MessageBoxIcon.Information);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,4-Column Shopping List.csproj,File,Form1.cs,261,16,T:System.Windows.Forms.MessageBox,,,,,"MessageBox.Show(""The previous list has been saved.\r\n\r\nThe list is located in the Documents folder, which will be overwritten when you add the first item."", ""New List"", MessageBoxButtons.OK, MessageBoxIcon.Information);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,4-Column Shopping List.csproj,File,Form1.cs,261,16,T:System.Windows.Forms.DialogResult,,,,,"MessageBox.Show(""The previous list has been saved.\r\n\r\nThe list is located in the Documents folder, which will be overwritten when you add the first item."", ""New List"", MessageBoxButtons.OK, MessageBoxIcon.Information);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,4-Column Shopping List.csproj,File,Form1.cs,261,16,"M:System.Windows.Forms.MessageBox.Show(System.String,System.String,System.Windows.Forms.MessageBoxButtons,System.Windows.Forms.MessageBoxIcon)",,,,,"MessageBox.Show(""The previous list has been saved.\r\n\r\nThe list is located in the Documents folder, which will be overwritten when you add the first item."", ""New List"", MessageBoxButtons.OK, MessageBoxIcon.Information);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,4-Column Shopping List.csproj,File,Form1.cs,258,12,T:System.Windows.Forms.DialogResult,,,,,"if (result == DialogResult.Yes)              {                  Save();                  MessageBox.Show(""The previous list has been saved.\r\n\r\nThe list is located in the Documents folder, which will be overwritten when you add the first item."", ""New List"", MessageBoxButtons.OK, MessageBoxIcon.Information);                                    // Clear all list boxes and item counts                  BreakfastListLB.Items.Clear();                  LunchListLB.Items.Clear();                  DinnerListLB.Items.Clear();                  ExtrasListLB.Items.Clear();                  UpdateCount(BreakfastListLB, BreakfastItemCountTB);                  UpdateCount(LunchListLB, LunchItemCountTB);                  UpdateCount(DinnerListLB, DinnerItemCountTB);                  UpdateCount(ExtrasListLB, ExtrasItemCountTB);              }"
